
" ";"Forbrugertillidsindikatoren";"Familiens økonomiske situation i dag, sammenlignet med for et år siden";"Familiens økonomiske  situation om et år, sammenlignet med i dag";"Danmarks økonomiske situation i dag, sammenlignet med for et år siden";"Danmarks økonomiske situation om et år, sammenlignet med i dag";"Anskaffelse af større forbrugsgoder, fordelagtigt for øjeblikket";"Priser i dag, sammenlignet med for et år siden";"Priser om et år, sammenlignet med i dag";"Arbejdsløsheden om et år, sammenlignet med i dag";"Anskaffelse af større forbrugsgoder, inden for de næste 12 mdr.";"Anser det som fornuftigt at spare op i den nuværende økonomiske situation";"Regner med at kunne spare op i de kommende 12 måneder";"Familiens økonomiske situation lige nu: kan spare/penge slår til/ bruger mere end man tjener"
"2016M06";4.4;6.2;12.4;5.1;3.7;-5.2;-12.0;18.5;-0.3;-2.7;60.5;28.9;26.5
"2016M07";3.1;5.9;10.7;5.0;-1.3;-4.9;-15.0;13.0;2.1;-1.4;57.9;25.9;28.0
"2016M08";4.8;5.3;12.5;7.1;3.0;-4.0;-13.0;14.4;-3.5;-4.4;61.8;30.7;27.9
"2016M09";1.8;5.3;9.8;2.6;-1.3;-7.3;-17.6;13.1;-2.3;-5.0;58.0;25.3;25.5
"2016M10";1.2;3.6;12.4;2.6;-3.0;-9.6;-17.4;11.6;1.9;-6.7;59.7;27.0;24.5
"2016M11";0.9;6.2;9.3;-0.1;-4.0;-6.6;-14.5;15.9;4.3;-6.8;59.5;29.1;22.9
"2016M12";-0.3;-1.9;10.2;0.9;-3.4;-7.5;-13.7;14.3;1.7;-8.5;59.6;26.1;19.3
"2017M01";4.5;6.0;11.4;6.4;2.7;-4.2;-14.8;17.0;-6.0;-2.6;55.2;24.1;24.4
"2017M02";4.8;4.5;14.5;6.9;3.3;-5.3;-11.4;18.6;-8.5;-1.6;60.9;30.1;26.5
"2017M03";6.2;3.1;15.3;9.6;8.5;-5.6;-12.2;19.4;-8.5;-3.3;55.4;27.9;24.8
"2017M04";7.4;5.2;14.2;12.8;11.6;-6.5;-11.9;20.2;-10.2;-2.4;52.5;25.5;28.0
"2017M05";5.8;3.6;12.7;11.3;10.1;-8.6;-8.4;22.7;-4.6;-4.3;61.5;32.3;30.9
"2017M06";7.1;5.6;12.3;13.9;9.3;-5.6;-9.3;20.1;-11.1;-2.2;57.3;32.9;29.2
"2017M07";10.5;10.7;15.7;16.0;13.0;-2.8;-10.7;17.4;-10.4;-3.0;60.0;29.4;29.5
"2017M08";7.6;5.8;11.6;15.3;11.7;-6.5;-6.6;20.7;-11.2;-4.7;59.9;30.5;26.8
"2017M09";7.3;4.7;16.2;14.3;11.1;-9.7;-8.3;18.0;-8.2;-5.7;59.0;26.0;23.9
"2017M10";7.1;10.3;13.5;12.3;6.0;-6.6;-4.2;20.0;-8.8;-0.6;51.6;24.7;25.3
"2017M11";7.6;6.7;13.8;14.6;9.8;-6.9;-3.2;25.4;-8.4;0.2;59.7;30.0;29.2
"2017M12";6.5;4.9;14.2;14.6;8.0;-9.3;-6.8;22.8;-10.4;-3.7;57.2;25.7;26.1
"2018M01";8.2;6.6;13.8;16.7;11.6;-7.7;-0.6;21.7;-12.0;-1.3;56.2;21.8;26.6
"2018M02";8.5;5.2;17.0;17.0;9.6;-6.3;-7.3;16.7;-8.6;0.5;56.3;31.7;26.4
"2018M03";8.5;6.8;15.1;17.6;8.4;-5.4;-8.4;23.2;-11.2;-2.4;58.6;30.7;26.7
"2018M04";7.1;3.6;12.5;16.9;9.5;-7.1;-5.3;23.6;-8.9;-5.5;57.4;24.1;27.9
"2018M05";9.3;8.9;11.9;18.1;12.3;-4.7;-8.1;24.7;-10.7;-3.8;61.9;32.4;29.3
"2018M06";10.6;6.0;15.4;23.6;13.9;-6.2;-6.0;24.0;-11.1;-0.2;58.0;27.6;29.0
"2018M07";9.7;10.1;17.6;18.2;9.4;-7.0;-6.7;25.9;-9.8;-0.8;63.1;32.0;29.7
"2018M08";7.8;6.8;12.3;16.6;7.2;-4.1;-7.3;29.1;-10.9;-5.5;61.7;29.6;28.4
"2018M09";6.9;5.4;13.6;12.1;7.4;-4.0;-3.4;26.1;-8.0;-1.1;60.2;31.6;27.7
"2018M10";5.1;4.0;10.6;12.7;6.2;-8.0;-6.5;27.0;-9.4;-5.7;60.2;27.7;28.2
"2018M11";4.3;8.5;13.4;6.3;1.4;-7.9;-5.6;26.8;-5.1;-6.4;58.2;29.7;26.2
"2018M12";2.9;3.3;10.9;6.9;0.9;-7.4;-5.3;22.2;-3.3;-5.1;58.6;29.9;25.7
"2019M01";3.9;7.3;12.2;7.7;-1.3;-6.5;-6.9;20.8;-2.3;-4.9;56.8;21.3;23.9
"2019M02";3.3;4.9;12.0;6.4;0.5;-7.2;-7.9;22.1;-3.4;-6.1;59.5;28.8;24.7
"2019M03";3.8;4.5;14.2;5.0;0.4;-5.3;-7.1;20.3;-0.3;-1.9;59.8;32.4;29.2
"2019M04";3.7;7.9;10.2;5.9;0.9;-6.5;-6.2;24.1;-2.8;-3.7;56.8;25.9;28.7
"2019M05";5.9;10.7;13.8;8.0;4.4;-7.4;-4.0;26.5;-2.1;0.6;58.5;32.1;30.7
"2019M06";5.8;9.0;14.6;10.2;3.5;-8.3;-5.8;24.0;-4.3;-1.6;60.7;33.3;26.6
"2019M07";2.9;6.3;9.2;9.0;-4.1;-6.0;-6.1;29.5;-0.5;-3.0;57.2;32.1;30.8
"2019M08";6.3;11.0;15.0;11.6;-1.8;-4.4;-13.3;24.2;1.2;-0.3;59.5;38.8;28.2
"2019M09";4.3;8.6;14.5;8.7;-5.7;-4.5;-12.7;19.4;4.1;-3.3;59.0;44.6;33.3
"2019M10";1.7;7.1;11.6;3.9;-5.2;-9.2;-8.9;25.3;5.8;-5.1;55.2;34.0;29.8
"2019M11";1.4;6.6;13.5;4.3;-4.7;-12.7;-8.7;28.0;7.7;-3.7;54.2;32.0;29.8
"2019M12";2.5;7.1;11.7;5.0;-4.7;-6.6;-4.8;31.1;6.2;-0.6;58.4;40.8;30.8
"2020M01";4.5;7.4;12.0;9.1;-0.9;-5.4;-6.8;28.7;2.7;-2.4;54.6;33.3;26.8
"2020M02";3.3;7.0;15.0;5.5;-1.4;-9.8;-4.1;26.6;6.3;-2.1;59.7;33.6;31.8
"2020M03";0.4;5.4;10.6;4.6;-9.9;-8.5;-7.4;24.7;10.7;-6.4;57.5;36.7;28.5
"2020M04";-11.9;4.0;2.7;-23.1;-21.7;-21.3;-15.2;19.1;41.1;-12.5;62.4;24.9;27.8
"2020M05";-8.8;3.3;9.6;-36.2;-9.2;-11.6;-20.8;20.0;19.3;-7.9;58.8;37.3;32.3
"2020M06";-3.1;7.5;12.6;-33.4;2.3;-4.4;-19.0;17.2;3.1;-7.0;56.4;38.2;31.9
"2020M07";-2.9;3.9;11.2;-25.4;3.0;-7.5;-13.9;16.6;7.6;-5.3;54.7;34.0;30.9
"2020M08";-5.5;3.1;12.0;-29.0;-6.2;-7.6;-13.1;21.1;14.7;-6.9;62.4;37.1;33.0
"2020M09";-7.4;2.4;10.9;-33.7;-3.5;-13.1;-11.8;21.2;14.8;-6.7;59.6;37.6;29.2
"2020M10";-6.2;3.1;12.0;-31.5;-7.8;-7.0;-13.8;21.3;21.3;-4.1;57.2;34.3;30.9
"2020M11";-7.6;4.6;10.6;-28.9;-16.1;-8.4;-13.5;21.8;28.2;-4.6;61.6;38.8;34.8
"2020M12";-3.8;4.4;11.1;-28.5;-2.1;-4.1;-14.4;24.2;6.9;-3.5;57.2;41.1;31.6
"2021M01";-4.1;5.6;12.6;-30.7;-0.9;-7.2;-18.9;18.9;11.5;-3.4;55.3;39.7;35.6
"2021M02";-5.2;6.0;12.8;-33.9;-5.2;-5.7;-19.2;24.6;6.9;-0.2;58.3;44.0;36.6
"2021M03";-5.0;3.3;11.7;-35.6;-1.7;-2.8;-14.9;28.4;2.0;1.8;57.0;42.6;35.0
"2021M04";-1.1;4.1;13.1;-28.2;7.4;-1.8;-12.0;31.4;-8.7;4.8;58.8;41.8;35.7
"2021M05";2.8;7.8;14.4;-16.7;8.5;-0.3;-5.7;28.1;-11.4;0.6;55.4;41.1;35.6
"2021M06";2.3;6.3;12.4;-10.3;10.4;-7.6;2.5;29.6;-11.3;3.3;54.2;44.2;36.7
"2021M07";2.6;7.6;11.2;-5.9;9.3;-9.0;4.3;28.7;-14.4;1.7;55.4;40.3;35.8
"2021M08";4.4;7.1;13.5;0.4;8.6;-7.7;2.4;26.8;-13.3;-0.8;57.8;45.5;34.8
"2021M09";8.2;9.6;16.2;10.4;14.0;-9.2;9.1;26.7;-17.6;0.7;53.3;42.7;32.7
"2021M10";3.3;2.8;9.8;7.0;9.7;-12.9;14.8;37.0;-11.3;-0.8;53.8;38.1;35.1
"2021M11";-2.0;1.9;5.7;1.0;-3.2;-15.3;24.7;43.4;-6.2;-3.3;58.0;37.5;33.4
"2021M12";-2.1;0.9;9.8;-2.6;-3.7;-14.8;27.7;36.1;-3.7;-6.1;62.2;40.4;32.7
"2022M01";-1.5;3.2;9.5;-5.2;-3.2;-11.9;28.0;35.4;-2.6;-5.5;58.6;39.6;33.0
"2022M02";-3.2;2.4;4.3;-6.1;0.5;-17.0;36.0;32.9;-7.2;-5.6;57.1;39.5;33.1
"2022M03";-14.4;-5.7;-5.8;-18.4;-26.0;-16.1;41.5;57.6;7.0;-8.7;64.6;38.1;34.5
"2022M04";-20.9;-13.9;-8.4;-29.1;-22.2;-31.0;50.8;42.4;11.0;-12.7;57.9;29.8;22.9
"2022M05";-22.4;-14.8;-6.1;-37.8;-23.2;-30.1;54.4;37.6;9.1;-14.5;62.4;30.1;28.5
"2022M06";-24.8;-17.3;-7.8;-42.1;-23.5;-33.0;63.6;28.2;12.6;-16.9;61.4;25.4;24.6
"2022M07";-25.6;-21.3;-7.2;-45.5;-23.0;-30.7;66.7;22.5;18.1;-17.5;60.8;26.0;18.4
"2022M08";-25.1;-21.5;-4.6;-48.3;-13.7;-37.7;71.2;0.8;15.8;-17.5;63.0;26.9;23.7
